cmd.exe	B-Indicator
/Q	I-Indicator
/c	I-Indicator
start	I-Indicator
c	I-Indicator
:	I-Indicator
\stage1.exe	I-Indicator
1	I-Indicator
>	I-Indicator
\\127.0.0.1\ADMIN	I-Indicator
$	I-Indicator
\__	I-Indicator
[	I-Indicator
TIMESTAMP	I-Indicator
]	I-Indicator
2	I-Indicator
>	I-Indicator
&	I-Indicator
1	I-Indicator
Example	O
Impacket	B-TTPs
command	I-TTPs
line	I-TTPs
showing	O
the	O
execution	O
of	O
the	O
destructive	B-Malware
malware	I-Malware
.	O
The	O
working	O
directory	O
has	O
varied	O
in	O
observed	O
intrusions	O
.	O
