Unauthenticated	B-Vulnerability
remote	I-Vulnerability
code	I-Vulnerability
execution	I-Vulnerability
occurs	O
in	O
D-Link	B-Application
products	I-Application
such	O
as	O
DIR-655C	B-Application
","	O
DIR-866L	B-Application
","	O
DIR-652	B-Application
","	O
and	O
DHP-1565	B-Application
.	O
The	O
issue	O
occurs	O
when	O
the	O
attacker	O
sends	B-TTPs
an	I-TTPs
arbitrary	I-TTPs
input	I-TTPs
to	I-TTPs
a	I-TTPs
''	I-TTPs
PingTest	I-TTPs
''	I-TTPs
device	I-TTPs
common	I-TTPs
gateway	I-TTPs
interface	I-TTPs
that	O
could	O
lead	O
to	O
common	O
injection	B-TTPs
.	O
An	O
attacker	O
who	O
successfully	O
triggers	B-TTPs
the	I-TTPs
command	I-TTPs
injection	I-TTPs
could	O
achieve	O
full	O
system	O
compromise	O
.	O
Later	O
","	O
it	O
was	O
independently	O
found	O
that	O
these	O
are	O
also	O
affected	O
:	O
DIR-855L	B-Application
","	O
DAP-1533	B-Application
","	O
DIR-862L	B-Application
","	O
DIR-615	B-Application
","	O
DIR-835	B-Application
","	O
and	O
DIR-825	B-Application
.	O
