Firmware	B-Application
version	I-Application
4.60	I-Application
of	I-Application
Zyxel	I-Application
USG	I-Application
devices	O
contains	O
an	B-Vulnerability
undocumented	I-Vulnerability
account	I-Vulnerability
(	I-Vulnerability
zyfwp	I-Vulnerability
)	I-Vulnerability
with	I-Vulnerability
an	I-Vulnerability
unchangeable	I-Vulnerability
password	I-Vulnerability
.	O
The	O
password	O
for	O
this	O
account	O
can	O
be	O
found	O
in	O
cleartext	O
in	O
the	O
firmware	O
.	O
This	O
account	O
can	O
be	O
used	O
by	O
someone	O
to	O
login	O
to	O
the	O
ssh	O
server	O
or	O
web	O
interface	O
with	O
admin	O
privileges	O
.	O
