Minerva	B-Reporter
Labs	I-Reporter
have	O
often	O
observed	O
threat	O
actors	O
using	O
legitimate	O
software	O
for	O
dropping	O
malicious	B-TTPs
files	I-TTPs
.	O
This	O
time	O
however	O
is	O
different	O
.	O
This	O
threat	O
actor	O
was	O
able	O
to	O
leave	O
most	O
parts	O
of	O
the	O
attack	O
under	O
the	O
radar	O
by	O
separating	O
the	O
attack	O
into	O
several	O
small	O
files	O
","	O
most	O
of	O
which	O
had	O
very	O
low	O
detection	O
rates	O
by	O
AV	O
engines	O
","	O
with	O
the	O
final	O
stage	O
leading	O
to	O
Purple	B-Malware
Fox	I-Malware
rootkit	I-Malware
infection.e	O
