BlackCat	B-Malware
ransomware	I-Malware
will	O
drop	B-TTPs
ransom	I-TTPs
notes	I-TTPs
on	O
the	O
compromised	O
system	O
(	O
s	O
)	O
to	O
inform	O
the	O
victim	O
of	O
what	O
has	O
happened	O
and	O
how	O
to	O
go	O
about	O
getting	O
their	O
data	O
restored	O
.	O
Text	B-TTPs
files	I-TTPs
with	I-TTPs
the	I-TTPs
name	I-TTPs
RECOVER-	I-TTPs
[	I-TTPs
RANDOM	I-TTPs
]	I-TTPs
-FILES.txt	I-TTPs
(	O
where	O
[	O
RANDOM	O
]	O
refers	O
to	O
the	O
aforementioned	O
file	O
extension	O
name	O
)	O
will	O
be	O
found	O
on	O
the	O
compromised	O
system	O
containing	O
information	O
