psexec.exe	B-Indicator
-accepteula	I-Indicator
\\	I-Indicator
<	I-Indicator
TARGET_HOST	I-Indicator
>	I-Indicator
-u	I-Indicator
<	I-Indicator
USERNAME	I-Indicator
>	I-Indicator
-p	I-Indicator
<	I-Indicator
PASSWORD	I-Indicator
>	I-Indicator
-s	I-Indicator
-d	I-Indicator
-f	I-Indicator
-c	I-Indicator
<	I-Indicator
ALPHV_EXECUTABLE	I-Indicator
>	I-Indicator
[	I-Indicator
FLAGS	I-Indicator
]	I-Indicator
[	I-Indicator
OPTIONS	I-Indicator
]	I-Indicator
--	I-Indicator
access-token	I-Indicator
<	I-Indicator
ACCESS_TOKEN	I-Indicator
>	I-Indicator
[	I-Indicator
SUBCOMMAND	I-Indicator
]	I-Indicator
