PEB	B-TTPs
modified	I-TTPs
to	I-TTPs
hide	I-TTPs
loaded	I-TTPs
modules	I-TTPs
.	O
Dll	B-Application
very	O
likely	O
not	O
loaded	O
by	O
LoadLibrary	B-Application
-	O
(	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
","	O
volatility	B-Application
)	O
